recall_segment,story_segment,quality_score,summary
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And he stops and looks at me and he says, ""Listen up, punk.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And then runs away.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And the Dean is covered with cream.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And the Dean says, ""Yes, I would care to comment. Fuck you.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","Reporters call this ""making shit up.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And they recommend against crossing that line.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",So the first I did was I gave the figure a name.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",Though in fact he'd been capeless.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And said that as he fled the scene, he clicked his heels in rakish glee.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And I gave him a catchphrase in Latin.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",Which makes no sense.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",I needed something.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I'm Catholic, Latin just comes to me.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And that's how the first line got crossed.,,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","A few days later, I get a letter.",,
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",,
