window_idx,window_text,window_start,window_end,event
0,hi i grew up in providence rhode island and for my entire childhood we were never more than twenty miles away from the core of our universe the kennedys we were irish they were irish we were catholic they were catholic they were family we were like the relatives that they never got to see,0,55,0
1,from the core of our universe the kennedys we were irish they were irish we were catholic they were catholic they were family we were like the relatives that they never got to see but we knew you know theyre busy and we knew that they loved us so anything so anything that was happening,21,76,1
2,were family we were like the relatives that they never got to see but we knew you know theyre busy and we knew that they loved us so anything so anything that was happening to them was also happening to us so their tragedy plus our own tragedy was a lot so this one thanksgiving,42,97,1
3,we knew that they loved us so anything so anything that was happening to them was also happening to us so their tragedy plus our own tragedy was a lot so this one thanksgiving after dinner and a family fight at grandma house um we were in the car and were driving home and the,63,118,1
4,their tragedy plus our own tragedy was a lot so this one thanksgiving after dinner and a family fight at grandma house um we were in the car and were driving home and the radio was playing this tenth uh anniversary of the jfk assassination and im sitting in the back seat and i start,84,139,2
5,house um we were in the car and were driving home and the radio was playing this tenth uh anniversary of the jfk assassination and im sitting in the back seat and i start to cry and my sister erin says hey dad mikayla crying and my father pulls that car right over to the,105,160,2
6,the jfk assassination and im sitting in the back seat and i start to cry and my sister erin says hey dad mikayla crying and my father pulls that car right over to the shoulder of i95 he stops it he turns around and he looks at us and with tears in his own eyes,126,181,2
7,dad mikayla crying and my father pulls that car right over to the shoulder of i95 he stops it he turns around and he looks at us and with tears in his own eyes he says dont you ever be ashamed to cry for that man so my parents grew up near newport and they,147,202,3
8,around and he looks at us and with tears in his own eyes he says dont you ever be ashamed to cry for that man so my parents grew up near newport and they got married in the same exact church as jack and jackie saint mary and my father gave exact replica jewelry to,168,223,4
9,cry for that man so my parents grew up near newport and they got married in the same exact church as jack and jackie saint mary and my father gave exact replica jewelry to my mother that was replications of the jewelry that jack gave to jackie and every saturday night after mass my family,189,244,4
10,jack and jackie saint mary and my father gave exact replica jewelry to my mother that was replications of the jewelry that jack gave to jackie and every saturday night after mass my family would be in the living room and wed be happily ever aftering to the original soundtrack of camelot and every year,210,265,5
11,that jack gave to jackie and every saturday night after mass my family would be in the living room and wed be happily ever aftering to the original soundtrack of camelot and every year during the seventies my four aunts would take me and my two cousins on their dream vacation a rented beach house,231,286,5
12,be happily ever aftering to the original soundtrack of camelot and every year during the seventies my four aunts would take me and my two cousins on their dream vacation a rented beach house in hyannis on the very cove sharing beachfront with the kennedy compound every day for an entire week my aunt pat,252,307,6
13,me and my two cousins on their dream vacation a rented beach house in hyannis on the very cove sharing beachfront with the kennedy compound every day for an entire week my aunt pat would roll up her sisters hair my aunts would apply sunscreen to the back of their necks the backs of the,273,328,6
14,with the kennedy compound every day for an entire week my aunt pat would roll up her sisters hair my aunts would apply sunscreen to the back of their necks the backs of the hands and the tops of their feet and then they would drag their beach chairs down to the beach and they,294,349,6
15,would apply sunscreen to the back of their necks the backs of the hands and the tops of their feet and then they would drag their beach chairs down to the beach and they would set them up perfectly not facing the water not into the sun for tanning but perfectly for spying on the,315,370,7
16,then they would drag their beach chairs down to the beach and they would set them up perfectly not facing the water not into the sun for tanning but perfectly for spying on the kennedys they would sit there all day in the broiling sun with high powered binoculars and keep a constant surveillance and,336,391,7
17,water not into the sun for tanning but perfectly for spying on the kennedys they would sit there all day in the broiling sun with high powered binoculars and keep a constant surveillance and every year theyd have the same exact conversations usually around mid morning the first sighting would be made usually by my,357,412,7
18,the broiling sun with high powered binoculars and keep a constant surveillance and every year theyd have the same exact conversations usually around mid morning the first sighting would be made usually by my aunt pat shed be ah they got rose out walking ethel looks drawn and then about an hour later my aunt,378,433,8
19,usually around mid morning the first sighting would be made usually by my aunt pat shed be ah they got rose out walking ethel looks drawn and then about an hour later my aunt gurt would say how old is rose now and aunt momo would make the calculations well let see jack died in,399,454,9
20,out walking ethel looks drawn and then about an hour later my aunt gurt would say how old is rose now and aunt momo would make the calculations well let see jack died in sixty three when she was seventy four and rose birthday was two weeks last thursday and joe died in sixty nine,420,475,9
21,and aunt momo would make the calculations well let see jack died in sixty three when she was seventy four and rose birthday was two weeks last thursday and joe died in sixty nine making her a widow at eighty one so eighty five and then theyd break for lunch so after lobster and drawn,441,496,9
22,rose birthday was two weeks last thursday and joe died in sixty nine making her a widow at eighty one so eighty five and then theyd break for lunch so after lobster and drawn butter and hosing us down theyd all huffle back to their posts and theyd watch and every now and then thered,462,517,9
23,eighty five and then theyd break for lunch so after lobster and drawn butter and hosing us down theyd all huffle back to their posts and theyd watch and every now and then thered be something they didnt know hey who that who that who that so they draw out the family tree in the,483,538,10
24,back to their posts and theyd watch and every now and then thered be something they didnt know hey who that who that who that so they draw out the family tree in the sand theyd analyze it theyd come up with a profile and theyd crack the code it one of bobby now any,504,559,10
25,who that who that so they draw out the family tree in the sand theyd analyze it theyd come up with a profile and theyd crack the code it one of bobby now any mention of bobby would always bring up the inevitable oh i just pray to god they dont tell poor senile rose,525,580,11
26,a profile and theyd crack the code it one of bobby now any mention of bobby would always bring up the inevitable oh i just pray to god they dont tell poor senile rose about bobby itll break her so then the long afternoon stretch would end with the inevitable annual observation you dont see,546,601,11
27,inevitable oh i just pray to god they dont tell poor senile rose about bobby itll break her so then the long afternoon stretch would end with the inevitable annual observation you dont see jackie much here and then all of my aunts would drop their binoculars and look at each other meaningfully now all,567,622,11
28,long afternoon stretch would end with the inevitable annual observation you dont see jackie much here and then all of my aunts would drop their binoculars and look at each other meaningfully now all of this meant that no one was paying any attention to me and my cousins in the water and the summer,588,643,12
29,aunts would drop their binoculars and look at each other meaningfully now all of this meant that no one was paying any attention to me and my cousins in the water and the summer when we were nine years old we found something now had an aunt perhaps in an effort to ease a cramp,609,664,13
30,any attention to me and my cousins in the water and the summer when we were nine years old we found something now had an aunt perhaps in an effort to ease a cramp in her prying neck just sort of glanced towards the water she might have seen us climbing into this tiny plastic,630,685,13
31,something now had an aunt perhaps in an effort to ease a cramp in her prying neck just sort of glanced towards the water she might have seen us climbing into this tiny plastic half inflated boat she might have cried out in alarm at the lack of oars and life vests she might have,651,706,13
32,towards the water she might have seen us climbing into this tiny plastic half inflated boat she might have cried out in alarm at the lack of oars and life vests she might have had a conniption fit to see us shove off and drift into the violent riptide that would sweep us within five,672,727,14
33,in alarm at the lack of oars and life vests she might have had a conniption fit to see us shove off and drift into the violent riptide that would sweep us within five minutes out to the open sea and the nantucket bound ferry but an aunt didnt and we did it all happened,693,748,14
34,off and drift into the violent riptide that would sweep us within five minutes out to the open sea and the nantucket bound ferry but an aunt didnt and we did it all happened so fast that we were swept out and it wasnt until we realized that we could make out the specific features,714,769,14
35,nantucket bound ferry but an aunt didnt and we did it all happened so fast that we were swept out and it wasnt until we realized that we could make out the specific features of the ferry passengers that we were really far from shore we were so far from shore that my aunts were,735,790,15
36,it wasnt until we realized that we could make out the specific features of the ferry passengers that we were really far from shore we were so far from shore that my aunts were now reduced to four hopping dots uh oh it was like gilligan island for real so an atlantic swell crashes over,756,811,15
37,far from shore we were so far from shore that my aunts were now reduced to four hopping dots uh oh it was like gilligan island for real so an atlantic swell crashes over our heads and as soon as the water clears out of our eyes a power boat pulls up out of nowhere,777,832,16
38,it was like gilligan island for real so an atlantic swell crashes over our heads and as soon as the water clears out of our eyes a power boat pulls up out of nowhere and in this power boat are david and michael kennedy so david and michael pull us up into the boat and,798,853,16
39,clears out of our eyes a power boat pulls up out of nowhere and in this power boat are david and michael kennedy so david and michael pull us up into the boat and we are like oh my god we are saved by a power boat so the power boat sends us back to,819,874,16
40,michael kennedy so david and michael pull us up into the boat and we are like oh my god we are saved by a power boat so the power boat sends us back to shore and were psyched cause were saved until we start to watch the four hopping dots morph back into our four,840,895,16
41,saved by a power boat so the power boat sends us back to shore and were psyched cause were saved until we start to watch the four hopping dots morph back into our four crazed livid aunts we are so gonna get it now my family under any circumstances has this really weird thing well,861,916,16
42,we start to watch the four hopping dots morph back into our four crazed livid aunts we are so gonna get it now my family under any circumstances has this really weird thing well they each have like their own weird thing about like yelling and getting into huge trouble like my aunt gurt like,882,937,17
43,it now my family under any circumstances has this really weird thing well they each have like their own weird thing about like yelling and getting into huge trouble like my aunt gurt like she gets so freaked out that all she can do is yell out our addresses like ilene and kevin two seventy,903,958,17
44,about like yelling and getting into huge trouble like my aunt gurt like she gets so freaked out that all she can do is yell out our addresses like ilene and kevin two seventy five hooper street mikayla one eighty asylum road i swear to god i grew up on asylum road um very telling,924,979,18
45,can do is yell out our addresses like ilene and kevin two seventy five hooper street mikayla one eighty asylum road i swear to god i grew up on asylum road um very telling piece of my childhood um or in my aunt pat would do these things where she would say these things that,945,1000,18
46,i swear to god i grew up on asylum road um very telling piece of my childhood um or in my aunt pat would do these things where she would say these things that were like actually kind of nice things but shed say them like they were death threats shed be like yeah ill,966,1021,18
47,aunt pat would do these things where she would say these things that were like actually kind of nice things but shed say them like they were death threats shed be like yeah ill save you from drowning you get on that beach towel and you lie in that sun now or shed say im,987,1042,19
48,shed say them like they were death threats shed be like yeah ill save you from drowning you get on that beach towel and you lie in that sun now or shed say im gonna buy you a birthday present you eat that cake now so we knew that this was what was coming the,1008,1063,19
49,beach towel and you lie in that sun now or shed say im gonna buy you a birthday present you eat that cake now so we knew that this was what was coming the kennedy boys didnt so theyre vivaciously tanned and they pull up to the shoreline and we brace ourselves now what happens,1029,1084,19
50,that cake now so we knew that this was what was coming the kennedy boys didnt so theyre vivaciously tanned and they pull up to the shoreline and we brace ourselves now what happens is our aunts are out of their minds theyre ready to flay us but when they see us in the same,1050,1105,20
51,they pull up to the shoreline and we brace ourselves now what happens is our aunts are out of their minds theyre ready to flay us but when they see us in the same boat as the kennedys it like they dont have the emotional capacity to handle it they kinda snap theyre kinda like,1071,1126,21
52,theyre ready to flay us but when they see us in the same boat as the kennedys it like they dont have the emotional capacity to handle it they kinda snap theyre kinda like freaking out to yell at us but they start fake smiling and trying to act all normal and my aunt momo,1092,1147,21
53,have the emotional capacity to handle it they kinda snap theyre kinda like freaking out to yell at us but they start fake smiling and trying to act all normal and my aunt momo she like takes on this like kennedy esque way of speaking which is sort of halfway between katherine hepburn and like,1113,1168,21
54,start fake smiling and trying to act all normal and my aunt momo she like takes on this like kennedy esque way of speaking which is sort of halfway between katherine hepburn and like the queen of england and were like looking at them like what are you guys doing and theyre smiling this smile,1134,1189,21
55,way of speaking which is sort of halfway between katherine hepburn and like the queen of england and were like looking at them like what are you guys doing and theyre smiling this smile but when they smile at us it like you just wait but theyre like oh david oh michael thank you thank,1155,1210,22
56,at them like what are you guys doing and theyre smiling this smile but when they smile at us it like you just wait but theyre like oh david oh michael thank you thank you thank you and theyre not mad at us for almost drowning theyre mad at us because the kennedys had to,1176,1231,22
57,you just wait but theyre like oh david oh michael thank you thank you thank you and theyre not mad at us for almost drowning theyre mad at us because the kennedys had to save us like dont those people have enough trouble as if our almost drowning was yet another kennedy tragedy so these,1197,1252,22
58,us for almost drowning theyre mad at us because the kennedys had to save us like dont those people have enough trouble as if our almost drowning was yet another kennedy tragedy so these poor boys finally pull and pry themselves away from my aunts they get back on the boat and theyre leaving and,1218,1273,23
59,trouble as if our almost drowning was yet another kennedy tragedy so these poor boys finally pull and pry themselves away from my aunts they get back on the boat and theyre leaving and my aunt momo going please give our best to your grandmother and now it time for our for real punishment which,1239,1294,23
60,from my aunts they get back on the boat and theyre leaving and my aunt momo going please give our best to your grandmother and now it time for our for real punishment which was that we for the rest of vacation had to stay on the beach because we did not have any respect,1260,1315,24
61,to your grandmother and now it time for our for real punishment which was that we for the rest of vacation had to stay on the beach because we did not have any respect for the water so it a hundred degrees out and after about a half hour of whining and fighting and like,1281,1336,24
62,had to stay on the beach because we did not have any respect for the water so it a hundred degrees out and after about a half hour of whining and fighting and like um emptying out all the coppertone and kicking sand we break my aunt pat last nerve and she says alright you,1302,1357,25
63,out and after about a half hour of whining and fighting and like um emptying out all the coppertone and kicking sand we break my aunt pat last nerve and she says alright you can go in the water but only up to your knees so were happy for a minute until we get in,1323,1378,25
