recall_segment,story_segment,mi
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",97
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones.",2
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I whip out my notebook and I go up to him and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?” And he stops and looks at me and he says, “Listen up, punk.” And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face.",10
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And then runs away.,0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And the Dean is covered with cream.,0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","So I give him a moment, and then I say, “Dean McGowan, would you care to comment on this latest attack?” And the Dean says, “Yes, I would care to comment.",1
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","Fuck you.” So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who’s a senior, and he will go on to win a Pulitzer Prize, that is true, and he’s a big guy.",1
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I pitch him my story, I tell him what I’ve seen, and he says, “Dean McGowan, that guy’s a dick.",1
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","Write it up.” So I’m banging out my story and I know it’s good, and then I start to make it better, by adding an element of embellishment.",5
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",Reporters call this “making shit up.” And they recommend against crossing that line.,0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",So the first I did was I gave the figure a name.,0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","I called him “Pie Man,” capital “P,” capital “M.” And I described him as a cape-wearing, masked avenger.",0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",Though in fact he’d been capeless.,0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.","And said that as he fled the scene, he clicked his heels in rakish glee.",0
"So, in this story there's a student who is in The Bronx New York City, and he is working for the school paper called The Ram.",And I gave him a catchphrase in Latin.,0
