window_idx,window_text,window_start,window_end,event
0,whew whistled joe matson the astonishment on his bronzed face being indicated by his surprised exclamation of well what do you know about that sis what is it joe asked his sister clara as she looked up from a letter she was reading to see her brother staring at a sheet of paper he had,0,55,0
1,know about that sis what is it joe asked his sister clara as she looked up from a letter she was reading to see her brother staring at a sheet of paper he had just withdrawn from an envelope for the morning mail had been delivered a few minutes before what is it the girl,21,76,0
2,reading to see her brother staring at a sheet of paper he had just withdrawn from an envelope for the morning mail had been delivered a few minutes before what is it the girl went on laying aside her own correspondence is it anything seriousanything about father business dont tell me there is more trouble,42,97,1
3,mail had been delivered a few minutes before what is it the girl went on laying aside her own correspondence is it anything seriousanything about father business dont tell me there is more trouble joe im not going to clara it isnt trouble but if what he says is true it going to make a,63,118,1
4,it anything seriousanything about father business dont tell me there is more trouble joe im not going to clara it isnt trouble but if what he says is true it going to make a big difference to me and joe looked out of the window across a snowy expanse of yard and gazed at without,84,139,1
5,trouble but if what he says is true it going to make a big difference to me and joe looked out of the window across a snowy expanse of yard and gazed at without consciously seeing a myriad of white flakes swirling down through the wintry air no it isnt exactly trouble went on joe,105,160,2
6,of the window across a snowy expanse of yard and gazed at without consciously seeing a myriad of white flakes swirling down through the wintry air no it isnt exactly trouble went on joe and i suppose i ought to be corkingly glad of it but i hadnt counted on leaving the central baseball league,126,181,2
7,down through the wintry air no it isnt exactly trouble went on joe and i suppose i ought to be corkingly glad of it but i hadnt counted on leaving the central baseball league quite so soon oh joe have you lost your place exclaimed clara and just after you have done so well too,147,202,2
8,glad of it but i hadnt counted on leaving the central baseball league quite so soon oh joe have you lost your place exclaimed clara and just after you have done so well too and helped them win the pennant i call that a shame i thought baseball men were better ports than that listen,168,223,3
9,your place exclaimed clara and just after you have done so well too and helped them win the pennant i call that a shame i thought baseball men were better ports than that listen to hermy little sister using slang laughed joe ports isnt slang defended clara ive heard lots of girls use it i,189,244,4
10,that a shame i thought baseball men were better ports than that listen to hermy little sister using slang laughed joe ports isnt slang defended clara ive heard lots of girls use it i mean it in the right sense but have you really lost your place on the team joe well not exactly sis,210,265,4
11,ports isnt slang defended clara ive heard lots of girls use it i mean it in the right sense but have you really lost your place on the team joe well not exactly sis but im about to im afraid however i guess i may as well make the best of it and be glad,231,286,4
12,you really lost your place on the team joe well not exactly sis but im about to im afraid however i guess i may as well make the best of it and be glad i sure can use the extra money i certainly dont know what youre talking about went on clara with a helpless,252,307,5
13,guess i may as well make the best of it and be glad i sure can use the extra money i certainly dont know what youre talking about went on clara with a helpless look at her big handsome brother and i suppose youll take your own time in telling me but i _would_ like,273,328,5
14,certainly dont know what youre talking about went on clara with a helpless look at her big handsome brother and i suppose youll take your own time in telling me but i _would_ like to know what it all means joe and about extra money who going to give it to you nobody ill have,294,349,6
15,suppose youll take your own time in telling me but i _would_ like to know what it all means joe and about extra money who going to give it to you nobody ill have to earn it with this pitching arm of mine and the young baseball player swung it around as though windingup for,315,370,6
16,about extra money who going to give it to you nobody ill have to earn it with this pitching arm of mine and the young baseball player swung it around as though windingup for a swift delivery look out joe cried clara but she gave the warning too late at that moment mrs matson entered,336,391,7
17,mine and the young baseball player swung it around as though windingup for a swift delivery look out joe cried clara but she gave the warning too late at that moment mrs matson entered the room with a jug of water which she intended pouring on a windowbox of flowers joe arm struck the jug,357,412,7
18,but she gave the warning too late at that moment mrs matson entered the room with a jug of water which she intended pouring on a windowbox of flowers joe arm struck the jug a glancing blow and sent it flying the water spraying over the floor and the jug itself falling and cracking into,378,433,7
19,she intended pouring on a windowbox of flowers joe arm struck the jug a glancing blow and sent it flying the water spraying over the floor and the jug itself falling and cracking into many pieces for a moment there was a momentous silence after two startled screamsone each from mrs matson and clara then,399,454,7
20,water spraying over the floor and the jug itself falling and cracking into many pieces for a moment there was a momentous silence after two startled screamsone each from mrs matson and clara then joe cried gaily out at first say momsey i hope i didnt hit you no you didnt and she laughed now,420,475,7
21,momentous silence after two startled screamsone each from mrs matson and clara then joe cried gaily out at first say momsey i hope i didnt hit you no you didnt and she laughed now but what does it all mean are you practicing so early in the season oh my carpet it will be ruined,441,496,8
22,i hope i didnt hit you no you didnt and she laughed now but what does it all mean are you practicing so early in the season oh my carpet it will be ruined she went on as she saw the water but im glad i didnt bring in a good jug did you hurt,462,517,8
23,practicing so early in the season oh my carpet it will be ruined she went on as she saw the water but im glad i didnt bring in a good jug did you hurt your hand nary a hurt said joe with a smile ha ill save _you_ from a wetting he exclaimed as he,483,538,9
24,but im glad i didnt bring in a good jug did you hurt your hand nary a hurt said joe with a smile ha ill save _you_ from a wetting he exclaimed as he stooped quickly and picked up an unopened letter the address of which was in a girlish hand get the mop while,504,559,9
25,a smile ha ill save _you_ from a wetting he exclaimed as he stooped quickly and picked up an unopened letter the address of which was in a girlish hand get the mop while youre at it advised clara a little later joe had sopped up the water and quiet was restored and now suppose,525,580,9
26,the address of which was in a girlish hand get the mop while youre at it advised clara a little later joe had sopped up the water and quiet was restored and now suppose you tell us all about it suggested mrs mason why were you practicing gymnastics joe and she smiled at her athletic,546,601,10
27,joe had sopped up the water and quiet was restored and now suppose you tell us all about it suggested mrs mason why were you practicing gymnastics joe and she smiled at her athletic son i was just telling clara that my pitching arm was likely to bring me in more money this year momsey,567,622,10
28,mason why were you practicing gymnastics joe and she smiled at her athletic son i was just telling clara that my pitching arm was likely to bring me in more money this year momsey and i was giving it a twirl when you happened to get in my way now ill tell you all about,588,643,11
29,pitching arm was likely to bring me in more money this year momsey and i was giving it a twirl when you happened to get in my way now ill tell you all about it it this letter and joe held out the one he had been reading are you sure it isnt the _other_,609,664,11
30,you happened to get in my way now ill tell you all about it it this letter and joe held out the one he had been reading are you sure it isnt the _other_ asked clara with a sly look at her brother for she had glanced at the writing on the unopened envelope joe,630,685,12
31,the one he had been reading are you sure it isnt the _other_ asked clara with a sly look at her brother for she had glanced at the writing on the unopened envelope joe had picked up from the floor let me read that other letter joe she teased a little latermaybe he parried but,651,706,12
32,brother for she had glanced at the writing on the unopened envelope joe had picked up from the floor let me read that other letter joe she teased a little latermaybe he parried but this one and he fluttered the open sheet in his hand this one is from mr gregory manager of the pittston,672,727,13
