window_idx,window_text,window_start,window_end,event
0,so it the last unit of the year im teaching third grade and the last unit is the oregon trail and i am prepared to have my students really live the oregon trail this is how i taught third grade i would create a world and then run it like a puppet master um i,0,55,0
1,i am prepared to have my students really live the oregon trail this is how i taught third grade i would create a world and then run it like a puppet master um i uh and and a lot of those times those worlds were goofy like we have always a game uh we got,21,76,0
2,create a world and then run it like a puppet master um i uh and and a lot of those times those worlds were goofy like we have always a game uh we got letters from a stuffed animal rock band named antic leia and the howlers who were lost across the united states and,42,97,1
3,those worlds were goofy like we have always a game uh we got letters from a stuffed animal rock band named antic leia and the howlers who were lost across the united states and we were studying geography so to help them we had to study the states uh we got letters from time machines,63,118,1
4,antic leia and the howlers who were lost across the united states and we were studying geography so to help them we had to study the states uh we got letters from time machines my characters had names like cheesy de pizza and caesar von salad um i was not a serious teacher uh but,84,139,1
5,we had to study the states uh we got letters from time machines my characters had names like cheesy de pizza and caesar von salad um i was not a serious teacher uh but now this is the oregon trail this is a serious time and this is also a really complicated time in american,105,160,2
6,and caesar von salad um i was not a serious teacher uh but now this is the oregon trail this is a serious time and this is also a really complicated time in american history um but to be totally honest im not sure i can get at the like historical and moral complexities of,126,181,2
7,a serious time and this is also a really complicated time in american history um but to be totally honest im not sure i can get at the like historical and moral complexities of westward expansion with nine year olds they have trouble taking the perspective of their little sister so im not really sure,147,202,3
8,not sure i can get at the like historical and moral complexities of westward expansion with nine year olds they have trouble taking the perspective of their little sister so im not really sure i can do that but i know i can get at the gravity of it right this is pioneers two thousand,168,223,3
9,trouble taking the perspective of their little sister so im not really sure i can do that but i know i can get at the gravity of it right this is pioneers two thousand miles across the united states which werent the united states yet across the rockies leaving everything they know risking everything they,189,244,4
10,can get at the gravity of it right this is pioneers two thousand miles across the united states which werent the united states yet across the rockies leaving everything they know risking everything they have blizzards and hunger and all these things and so at least i can get it really real and at least,210,265,4
11,united states yet across the rockies leaving everything they know risking everything they have blizzards and hunger and all these things and so at least i can get it really real and at least i can get my kids to feel like it really real so i come to my class and i say were,231,286,4
12,and so at least i can get it really real and at least i can get my kids to feel like it really real so i come to my class and i say were gonna be doing the oregon trail and this one smart aleck kid named alex says well will it be a game,252,307,5
13,it really real so i come to my class and i say were gonna be doing the oregon trail and this one smart aleck kid named alex says well will it be a game cuz he knows it always a game and i say yeah but it gonna be a dangerous game and theyre pretty,273,328,5
14,one smart aleck kid named alex says well will it be a game cuz he knows it always a game and i say yeah but it gonna be a dangerous game and theyre pretty psyched about that so what ive planned is like a simulation were gonna take on characters of pioneers and were going,294,349,6
15,i say yeah but it gonna be a dangerous game and theyre pretty psyched about that so what ive planned is like a simulation were gonna take on characters of pioneers and were going to travel the oregon trail on a wagon train so first we have to choose names for our characters i downloaded,315,370,7
16,like a simulation were gonna take on characters of pioneers and were going to travel the oregon trail on a wagon train so first we have to choose names for our characters i downloaded and printed the names of real people who died on the oregon trail it pretty authentic and so they can have,336,391,7
17,train so first we have to choose names for our characters i downloaded and printed the names of real people who died on the oregon trail it pretty authentic and so they can have their first names but they have to have last names like chapman and blunderfield and alex is now alex bacon and,357,412,7
18,died on the oregon trail it pretty authentic and so they can have their first names but they have to have last names like chapman and blunderfield and alex is now alex bacon and then they have to choose occupations and all the girls wanna be pop stars and i tell them there were no,378,433,8
19,last names like chapman and blunderfield and alex is now alex bacon and then they have to choose occupations and all the girls wanna be pop stars and i tell them there were no pop stars on the oregon trail choose authentic occupations from the eighteen forties so okay so great there are farmers and,399,454,8
20,the girls wanna be pop stars and i tell them there were no pop stars on the oregon trail choose authentic occupations from the eighteen forties so okay so great there are farmers and there are gold miners and there a couple of doctors and were were good but before we start i want them,420,475,9
21,occupations from the eighteen forties so okay so great there are farmers and there are gold miners and there a couple of doctors and were were good but before we start i want them to feel what it really felt like to walk for that long so i was here in manhattan i took them,441,496,9
22,of doctors and were were good but before we start i want them to feel what it really felt like to walk for that long so i was here in manhattan i took them on a forty block walk it about two miles it not that long it long if youre a nine year old,462,517,10
23,walk for that long so i was here in manhattan i took them on a forty block walk it about two miles it not that long it long if youre a nine year old i guess and it a beautiful day you know were going up the west side were going up the hudson and,483,538,10
24,miles it not that long it long if youre a nine year old i guess and it a beautiful day you know were going up the west side were going up the hudson and uh alex bacon says to me well i wouldnt have had to walk i would have ridden in the wagon and,504,559,10
25,know were going up the west side were going up the hudson and uh alex bacon says to me well i wouldnt have had to walk i would have ridden in the wagon and i said aha no no children never rode in the wagons the wagons were for if there was someone sick or,525,580,11
26,wouldnt have had to walk i would have ridden in the wagon and i said aha no no children never rode in the wagons the wagons were for if there was someone sick or our supplies or if we had a piano cuz i have done my research and then another kid says well im,546,601,11
27,in the wagons the wagons were for if there was someone sick or our supplies or if we had a piano cuz i have done my research and then another kid says well im thirsty and i say well there were no water fountains on the oregon trail and he says well there a water,567,622,12
28,cuz i have done my research and then another kid says well im thirsty and i say well there were no water fountains on the oregon trail and he says well there a water fountain right there and i think about the parent phone call i do not wanna get about withholding water from a,588,643,13
29,water fountains on the oregon trail and he says well there a water fountain right there and i think about the parent phone call i do not wanna get about withholding water from a child and i think fast and i say ah a stream how fortunate let us partake and so we finally get,609,664,13
30,parent phone call i do not wanna get about withholding water from a child and i think fast and i say ah a stream how fortunate let us partake and so we finally get back and were hot and sweaty but were ready were ready to go on our journey and the way i designed,630,685,13
31,ah a stream how fortunate let us partake and so we finally get back and were hot and sweaty but were ready were ready to go on our journey and the way i designed it is previously all of my games were just fiction like i would just write a letter and then they would,651,706,14
32,ready were ready to go on our journey and the way i designed it is previously all of my games were just fiction like i would just write a letter and then they would respond and i would write another letter that night i always knew what was gonna happen but now i wanna play,672,727,14
33,just fiction like i would just write a letter and then they would respond and i would write another letter that night i always knew what was gonna happen but now i wanna play a little more dangerously because it was all luck what happened on the oregon trail right so i have designed a,693,748,14
34,night i always knew what was gonna happen but now i wanna play a little more dangerously because it was all luck what happened on the oregon trail right so i have designed a game of chance um i have combined do you guys know the oregon trail video game fans okay uh ive designed,714,769,15
35,luck what happened on the oregon trail right so i have designed a game of chance um i have combined do you guys know the oregon trail video game fans okay uh ive designed uh ive ive combined the oregon trail video game with principles of dungeons and dragons the role playing game with dice,735,790,15
36,you guys know the oregon trail video game fans okay uh ive designed uh ive ive combined the oregon trail video game with principles of dungeons and dragons the role playing game with dice so what were gonna do is every day im gonna tell them what happened on the trail that day theyre gonna,756,811,15
37,game with principles of dungeons and dragons the role playing game with dice so what were gonna do is every day im gonna tell them what happened on the trail that day theyre gonna make some choices about what they wanna do and then were gonna roll dice to see if they succeeded or failed,777,832,16
38,im gonna tell them what happened on the trail that day theyre gonna make some choices about what they wanna do and then were gonna roll dice to see if they succeeded or failed so ill give you an example we get to a river and they have to decide do they wanna pay a,798,853,16
39,and then were gonna roll dice to see if they succeeded or failed so ill give you an example we get to a river and they have to decide do they wanna pay a ferryman or do they want to ford their wagons and they decide to ford their wagons we roll to find out,819,874,17
40,to a river and they have to decide do they wanna pay a ferryman or do they want to ford their wagons and they decide to ford their wagons we roll to find out if their wagons sink or floated that kind of thing so it easy great alright so the first day starts and,840,895,18
41,wagons and they decide to ford their wagons we roll to find out if their wagons sink or floated that kind of thing so it easy great alright so the first day starts and i have this bonnet that ive sewn out of old upholstery material and i put on this bonnet and i tell,861,916,18
42,of thing so it easy great alright so the first day starts and i have this bonnet that ive sewn out of old upholstery material and i put on this bonnet and i tell them i am mary your wagon train captain we are all here for different reasons but we will have to work,882,937,18
43,of old upholstery material and i put on this bonnet and i tell them i am mary your wagon train captain we are all here for different reasons but we will have to work together to get through the bad weather and the hunger and the wild animals that await us and alex bacon says,903,958,19
44,we are all here for different reasons but we will have to work together to get through the bad weather and the hunger and the wild animals that await us and alex bacon says excuse me mary this is a dangerous game could we die and i was a little in character at that point,924,979,19
45,the hunger and the wild animals that await us and alex bacon says excuse me mary this is a dangerous game could we die and i was a little in character at that point and i will also admit i wanted to take alex down a peg so i said sure people died on the,945,1000,19
46,could we die and i was a little in character at that point and i will also admit i wanted to take alex down a peg so i said sure people died on the oregon trail all the time someone might die and this shiver of excitement goes across my class they liked my stuffed,966,1021,20
47,take alex down a peg so i said sure people died on the oregon trail all the time someone might die and this shiver of excitement goes across my class they liked my stuffed animal rock band but they are into danger and i know im not gonna let anyone die like im not gonna,987,1042,20
48,and this shiver of excitement goes across my class they liked my stuffed animal rock band but they are into danger and i know im not gonna let anyone die like im not gonna let it get there right no one gonna die on the oregon trail but the idea that someone might gets them,1008,1063,20
49,and i know im not gonna let anyone die like im not gonna let it get there right no one gonna die on the oregon trail but the idea that someone might gets them wanting to come to social studies every day so this is okay so were off were tracking our mileage were rolling,1029,1084,21
50,die on the oregon trail but the idea that someone might gets them wanting to come to social studies every day so this is okay so were off were tracking our mileage were rolling dice or making tough choices and at some point uh i have them meet a snake oil salesman who offers to,1050,1105,21
51,so this is okay so were off were tracking our mileage were rolling dice or making tough choices and at some point uh i have them meet a snake oil salesman who offers to sell them an elixir that will make them stronger and faster and get to oregon city quicker and something you need,1071,1126,22
