window_idx,window_text,window_start,window_end,event
0,i began my illustrious career in journalism in the bronx where i toiled as a hardboiled reporter for the ram the student newspaper at fordham university and one day im walking toward the campus center and out comes the elusive dean mcgowan architect of a policy to replace fordhams traditionally working to middleclass students with,0,55,0
1,student newspaper at fordham university and one day im walking toward the campus center and out comes the elusive dean mcgowan architect of a policy to replace fordhams traditionally working to middleclass students with wealthier more prestigious ones so i whip out my notebook and i go up to him and i say dean mcgowan,21,76,1
2,architect of a policy to replace fordhams traditionally working to middleclass students with wealthier more prestigious ones so i whip out my notebook and i go up to him and i say dean mcgowan is it true that fordham university plans to raise tuition substantially above the inflation rate and if so wouldnt that be,42,97,1
3,my notebook and i go up to him and i say dean mcgowan is it true that fordham university plans to raise tuition substantially above the inflation rate and if so wouldnt that be a betrayal of its mission and he stops and looks at me and he says listen up punk and right then,63,118,2
4,raise tuition substantially above the inflation rate and if so wouldnt that be a betrayal of its mission and he stops and looks at me and he says listen up punk and right then theres a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy,84,139,2
5,and looks at me and he says listen up punk and right then theres a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into dean mcgowans face and then runs away and the dean is covered,105,160,3
6,eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into dean mcgowans face and then runs away and the dean is covered with cream so i give him a moment and then i say dean mcgowan would you care to comment on this,126,181,3
7,into dean mcgowans face and then runs away and the dean is covered with cream so i give him a moment and then i say dean mcgowan would you care to comment on this latest attack and the dean says yes i would care to comment fuck you so i race back to the newsroom,147,202,4
8,and then i say dean mcgowan would you care to comment on this latest attack and the dean says yes i would care to comment fuck you so i race back to the newsroom with my scoop and i find the editor jim dwyer whos a senior and he will go on to win a,168,223,4
9,would care to comment fuck you so i race back to the newsroom with my scoop and i find the editor jim dwyer whos a senior and he will go on to win a pulitzer prize that is true and hes a big guy i pitch him my story i tell him what ive seen,189,244,5
10,jim dwyer whos a senior and he will go on to win a pulitzer prize that is true and hes a big guy i pitch him my story i tell him what ive seen and he says dean mcgowan that guys a dick write it up so im banging out my story and i know,210,265,6
11,big guy i pitch him my story i tell him what ive seen and he says dean mcgowan that guys a dick write it up so im banging out my story and i know its good and then i start to make it better by adding an element of embellishment reporters call this making shit,231,286,6
12,dick write it up so im banging out my story and i know its good and then i start to make it better by adding an element of embellishment reporters call this making shit up and they recommend against crossing that line but i had just seen the line crossed between a highpowered dean and,252,307,7
13,it better by adding an element of embellishment reporters call this making shit up and they recommend against crossing that line but i had just seen the line crossed between a highpowered dean and assault with a pastry and i kind of liked it so the first i did was i gave the figure a,273,328,7
14,but i had just seen the line crossed between a highpowered dean and assault with a pastry and i kind of liked it so the first i did was i gave the figure a name i called him pie man capital p capital m and i described him as a capewearing masked avenger though in,294,349,7
15,liked it so the first i did was i gave the figure a name i called him pie man capital p capital m and i described him as a capewearing masked avenger though in fact hed been capeless and said that as he fled the scene he clicked his heels in rakish glee and i,315,370,8
16,capital m and i described him as a capewearing masked avenger though in fact hed been capeless and said that as he fled the scene he clicked his heels in rakish glee and i gave him a catchphrase in latin i said that he cried out ego sum non an bestia which means i am,336,391,8
17,he fled the scene he clicked his heels in rakish glee and i gave him a catchphrase in latin i said that he cried out ego sum non an bestia which means i am not an animal which makes no sense i needed something im catholic latin just comes to me so i finish my,357,412,9
18,that he cried out ego sum non an bestia which means i am not an animal which makes no sense i needed something im catholic latin just comes to me so i finish my story and i hand it to dwyer and he reads and he says pie man i love it page one and,378,433,10
