movie_num,seg_num,seg_start_time,subseg_num,subseg_start_time,text
12,1,0.0,1,0.0,"Anthropomorphic candy, popcorn, cigarette pack and soda walking down a movie aisle and singing ""Let's all go to the lobby to get ourselves a drink"""
12,1,0.0,2,0.12,"Looking at an active popcorn machine. People sing ""Delicious things to eat, the popcorn can't be beat."""
12,1,0.0,3,0.17,"Family of four (mother, father, son and daughter) are eating and drinking snacks. Chorus sings ""the sparkling drinks are just dandy, the chocolate bars and the candy."""
12,1,0.0,4,0.23,"View of a movie lobby selling snacks and drinks. Chorus sings ""so let's all go to the lobby to get ourselves a treat"""
12,1,0.0,5,0.29,"The words ""Let's all go to the Lobby to get Ourselves a Treat"" fade in as the chorus sings ""Let's all go to the lobby..."""
12,2,0.34,1,0.34,"Old fashioned movie countdown counting down from 3 to 2 to 1 to 0. The chorus finishes singing ""to get ourselves a treat."""
12,2,0.34,2,0.39,Cut to a completely black screen
1,3,0.41,1,0.41,"""CATCH ME IF YOU CAN"" in bold white text fades in on a black screen before fading out"
1,4,0.44,1,0.44,"""INSPIRED BY A TRUE STORY"" in bold white text fades in on a screen of TV static"
1,5,0.4700000000000001,1,0.47,"Establishing shot of a game show. ""TO TELL THE TRUTH"" in stylized text in the bottom center of the screen. The host says ""Thank you very much and welcome to 'To Tell the Truth'"""
1,5,0.4700000000000001,2,0.5,"Yellow curtains open up to reveal three men in black suits, who start walking forward. The host says ""Our first guest, he's made a career out of being the most outrageous imposter that we've ever come across on his show. You're going to see what I mean"""
1,6,0.59,1,0.59,"Host says, ""Number 1, what is your name please?"" The first man says ""My name is Frank William Abagnale"""
1,6,0.59,2,1.04,"Camera pans to the right. Host says ""Number 2"" and the second man says ""My name is Frank William Abagnale"""
1,6,0.59,3,1.07,"Camera pans to the right. Host says ""Number 3"" and the third man says ""My name is Frank William Abagnale"""
1,7,1.11,1,1.11,"Camera cuts back, then zooms in on the first man. Host: ""From 1964 to 1967 I successfully impersonated an airline pilot for Pan Am Airways and I flew over 2 million miles for free"""
1,7,1.11,2,1.2,"Camera pans to the second man. Host: ""During that time I was also the chief resident pediatrician at a Georgia hospital"""
1,7,1.11,3,1.25,"Camera pans to the third man. Host: ""And an assistant attorney general for the state of Louisiana"""
1,7,1.11,4,1.29,"Camera zooms out to all three men. Host: ""By the time I was caught, I was considered the youngest and most daring con man in US history. I had cashed almost 4 million dollars in fraudulent checks in 26 foreign countries and all 50 states. And I did it all before my 19th birthday"""
1,7,1.11,5,1.45,"The men start walking to the left, where there are three podiums. Host: ""My name is Frank William Abagnale"""
1,8,1.4899999999999998,1,1.49,The men sit down at their respective podiums/seats
1,8,1.4899999999999998,2,1.54,"Camera cuts to the host. He says ""So, for the first time he's going to have to tell the truth and we're going to start our question with Kitty"""
1,8,1.4899999999999998,3,1.58,"Camera cuts to a lady. She says ""Thank you. Number 1, why, with all your talent and you're obviously a very bright"
1,8,1.4899999999999998,4,2.03,"Camera zooms in on the first man. Kitty continues: ""Why didn't you go in for a legitimate profession?"""
1,8,1.4899999999999998,5,2.04,"The man replies. ""It was really a question of dollars and cents. When I was a young man I needed the money, and I thought this list of careers was the easiest way to get it"". Kitty replies, ""I see"""
1,9,2.14,1,2.14,"Camera pans to the second man. Kitty: ""Number 2. I find this all very fascinating. Who was it that finally caught you?"""
1,9,2.14,2,2.19,"The man leans in to the mic and replies, ""His name was Carl Hanratty"""
1,10,2.23,1,2.23,Suddenly cut to a scene in the rain. A group of men are trying to communicate with French prison guards (police officers?)
1,10,2.23,2,2.26,"Camera cuts to a wider shot showing a group of men. One man repeats his name ""Carl Hanratty"" to the French prison guards"
1,10,2.23,3,2.3,"Close up of Carl Hanratty's face. He says ""I am Carl Hanratty"""
1,10,2.23,4,2.35,"Hanratty says ""I represent the FBI of the United States of America. Yeah. I have orders to see the American prisoner Abagnale"""
1,10,2.23,5,2.45,"Establishing shot of a French prison in the rain. In the bottom right corner, ""Marseille, France, Christmas Eve, 1969"" appears in white text"
1,11,2.49,1,2.49,"View from inside a prison door, through a small round window. A French jailer unlocks and opens the door."
1,11,2.49,2,2.57,Carl follows the jailer through a dimly lit hallway. The jailer picks up a stool and sets it down at the end of the hall.
1,12,3.12,1,3.12,"The jailer says ""You sit here. You do not open the door"" He opens a hole in the wall ""You do not pass him anything through the hole."" The jailer then walks"
1,12,3.12,2,3.25,The jailer walks away and says something in French to another man standing nearby
1,13,3.31,1,3.31,"View from inside of jail cell. A man is coughing in the background. Carl peers in and says ""Aww, Jesus"""
1,13,3.31,2,3.37,"Looking into the cell, a disheveled man wrapped in a cloak coughs hoarsely and crouches on the floor"
1,13,3.31,3,3.42,"Wide shot of outside the cell, thunder roars in the background. Carl looks up and opens his umbrella before sitting down"
1,13,3.31,4,3.54,"As Frank continues to cough, Carl says ""you know I've got a little bit of a cold myself"""
1,14,4.02,1,4.02,"Carl says ""I'm here to read the articles of extradition according to the European Court for Human Rights. Article 1: Extradition shall be granted in respect of offenses under the laws..."""
1,14,4.02,2,4.11,"Frank mumbles, ""help me"" repeatedly as Carl continues to read the articles"
1,15,4.19,1,4.19,"Carl pauses, then says ""Frank, stop it"""
1,15,4.19,2,4.21,"Frank says ""help me"" again, breathing heavily"
1,15,4.19,3,4.24,"Carl says ""You don't think actually you can fool me, do ya?"""
1,15,4.19,4,4.27,"Frank coughs coarsely and looks up at the ceiling. Carl says ""16 pages to go, stay with me"""
1,16,4.31,1,4.31,"Carl: ""Article two. If the request for extradition includes several separate offenses... """
1,16,4.31,2,4.36,Frank stumbles and then falls onto the floor
1,17,4.39,1,4.39,"Carl stops reading out the articles. He says ""Frank. Frank."""
1,17,4.39,2,4.46,"Carl stands up quickly, knocking over his stool. He shouts ""Get me a doctor in here! I need a doctor. Doctor, now!"" as the jail guard approaches."
1,18,4.53,1,4.53,"Sudden cut to Carl and the jailors dragging Frank through a hallway. Carl says ""Don't sweat it Frank. We're going to get you right to a doctor"""
1,18,4.53,2,5.0,"The jailors place Frank onto a hospital bed. Carl says, ""Frank if you can hear me, don't worry I'm going to take you home in the morning. Home in the morning, Frank"""
1,19,5.05,1,5.04,"The jailors start washing their hands. Carl asks, ""what are you doing?"" Official ""Washing off the lice"" Carl: ""This man has to be in a plane for America. He has to see a doctor"" Jailor: ""The doctor comes in tomorrow"""
1,19,5.05,2,5.19,"Carl: ""I have worked too long, too hard for you to take this away from me. If he dies, I'm holding you responsible"""
1,20,5.24,1,5.24,"The official turns his head. The camera pans to a door, which is left open and creaking."
1,20,5.24,2,5.29,The official turns to the hospital bed. He opens the curtains to see that Frank is gone. He calls to the guards
1,20,5.24,3,5.32,"The guards rush out the door and Carl says ""Ah, Frank"""
1,21,5.38,1,5.38,"Camera cuts to a prison hallway. Inmates are up against a chain link fence, rattling it ringing bells and making noise"
1,22,5.45,1,5.45,"Camera pans to Frank, who coughs and falls to the floor. He tries to stand up but falls again"
1,23,5.5,1,5.52,"In the background, officials appear and walk towards Frank, who tries to crawl"
1,23,5.5,2,5.54,Shot of Frank crawling away from the officials. He looks back
1,23,5.5,3,5.56,The officials walk briskly towards Frank. One of them pulls out a gun
1,24,6.03,1,6.03,"The official presses his gun up against Frank's head. Frank stops crawling and sits back. In the background, the officials try to quiet the other prisoners."
1,25,6.11,1,6.11,Frank gives up and lies down on his back. The camera pans to his face. Frank chuckles as he looks at Carl
1,26,6.16,1,6.16,"Carl walks over, looking at Frank. Frank says ""Okay Carl..."""
1,26,6.16,2,6.22,"Camera cuts to Frank, who says ""Let's go home""."
1,26,6.16,3,6.24,"The camera starts to zoom pan out. A voice in the background says ""The New Rochelle Rotary Club has a history that goes back to 1919"""
2,27,6.31,1,6.31,"""THE RECORD""  in bold white text fades in on a black screen before fading out"
2,28,6.37,1,6.37,"View outside a building, with a woman standing at a window. Camera slowly zooms in"
2,28,6.37,2,6.39,woman sitting in room with a pizza box. She opens it and takes a slice out
2,29,6.43,1,6.43,Someone knocks on the door. The woman turns around
2,29,6.43,2,6.45,The woman opens the door and looks around
2,30,6.48,1,6.48,The woman looks down to see a package on the floor
2,30,6.48,2,6.5,The woman brings the package inside and sits down to start opening it up
2,30,6.48,3,6.56,"The woman takes out a record in a sleeve that says ""A SINGLE LIFE"""
