cause_segment,effect_segment,causality_score
"And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"And he stops and looks at me and he says, ""Listen up, punk.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
And then runs away.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
And the Dean is covered with cream.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"And the Dean says, ""Yes, I would care to comment. Fuck you.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"Reporters call this ""making shit up.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
And they recommend against crossing that line.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
So the first I did was I gave the figure a name.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
Though in fact he'd been capeless.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"And said that as he fled the scene, he clicked his heels in rakish glee.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
And I gave him a catchphrase in Latin.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
Which makes no sense.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
I needed something.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"I'm Catholic, Latin just comes to me.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
And that's how the first line got crossed.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"A few days later, I get a letter.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
So I was there with a photographer from the Ram.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
