sentence_idx,sentence_text
0,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University."
1,"And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones."
2,So I whip out my notebook
3,and I go up to him
4,"and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?”"
5,"And he stops and looks at me and he says, “Listen up, punk.”"
6,"And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face."
7,And then runs away.
8,And the Dean is covered with cream.
9,"So I give him a moment, and then I say, “Dean McGowan, would you care to comment on this latest attack?”"
10,"And the Dean says, “Yes, I would care to comment."
11,Fuck you.”
12,"So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who’s a senior, and he will go on to win a Pulitzer Prize, that is true, and he’s a big guy."
13,"I pitch him my story, I tell him what I’ve seen, and he says, “Dean McGowan, that guy’s a dick."
14,Write it up.”
15,So I’m banging out my story
16,"and I know it’s good, and then I start to make it better, by adding an element of embellishment."
17,Reporters call this “making shit up.”
18,And they recommend against crossing that line.
19,"But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it."
20,So the first I did was I gave the figure a name.
21,"I called him “Pie Man,” capital “P,” capital “M.”"
22,"And I described him as a cape-wearing, masked avenger."
23,Though in fact he’d been capeless.
24,"And said that as he fled the scene, he clicked his heels in rakish glee."
25,And I gave him a catchphrase in Latin.
26,"I said that he cried out, “Ego sum non an bestia,” which means “I am not an animal.”"
27,Which makes no sense.
28,I needed something.
29,"I’m Catholic, Latin just comes to me."
30,So I finish my story
31,"and I hand it to Dwyer, and he reads and he says, “Pie Man?"
32,I love it.
33,Page one.”
34,And that’s how the first line got crossed.
35,"A few days later, I get a letter."
36,"It says, “Dear Jim, good story."
37,Nice details.
38,"If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o’clock,” signed Pie Man."
39,So I was there with a photographer from the Ram.
40,"And sure enough, out comes Sheila Beale, student-body president."
41,And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.
42,Sheila was well-bred.
43,Sheila had school spirit.
44,Sheila was the kind of student that Dean McGown wanted more of.
45,Although rumor had it that he got plenty of her in his office on his desk.
46,"But that’s just a rumor, please do not spread it outside this rumor."
47,I myself would never say that.
48,"But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus."
49,The infamous “no more beer at barbecues” rule.
50,"That’s right, boo that rule."
51,Sheila thought drinking in public was in poor taste.
52,I think you know what happened next.
53,"Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, “Ego sum non an bestia.”"
54,"Or at least that’s what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this."
55,And that’s what made him a sensation on campus.
56,People started dressing like him and quoting him in class.
57,"The Ram ran five major stories about Pie Man, all of them by me."
58,"And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends."
59,And now Angela and I had been flirting for two months.
60,"Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed."
61,"So I, I saw her there and made a mental note to do nothing about it."
62,And then I went to the bar to buy a round
63,and I felt a tap on my shoulder.
64,And it was her.
65,"And she said, “Jim, we were just talking about how you always seem to know when and where Pie Man will strike."
66,"And we were wondering, are you Pie Man?”"
67,"And I knew by the way she said it, I knew that if I said yes, she would have sex with me."
68,And wasn’t
69,I really Pie Man?
70,For having brought him into being.
71,Didn’t she only know about him through me?
72,But she had asked me a straightforward question that came with a straightforward answer.
73,"In fact, I wasn’t Pie Man."
74,"As far as I knew, I had never seen the guy out of costume."
75,"So I looked at her and I said, “Yes, Angela."
76,I am Pie Man.”
77,"And she said, “Oh, good."
78,"Now buy me a beer and tell me all about it.”"
