recall_segment,story_segment,quality_score,summary
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",6,"debatably also 5 but hard to say, could also be 7-8 because it's an OVER expression"
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.",4,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""",6,maybe 7? I don�t fully get diff 6 and 7
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And he stops and looks at me and he says, ""Listen up, punk.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And then runs away.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And the Dean is covered with cream.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And the Dean says, ""Yes, I would care to comment. Fuck you.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.",0,
